created_at,timestamp,username,tweet,language,likes_count
2022-11-12 08:53:15 +07,1668217995.0,meta2140english,"Rabbit Hole Recap 226: FTX BLOWS UP - Takes House of Cards with it, MOVE BITCOIN OFF EXCHANGES #btc #bitcoin #freedom #financialfreedom #fed  https://t.co/Gt2tUrnffc",en,0
2022-11-12 08:49:41 +07,1668217781.0,token_platforms,The current price of Bitcoin is 16853.09 US$.   #btc #bitcoin   Follow us + RT,en,0
2022-11-12 08:48:38 +07,1668217718.0,ekousdt,HANGING MAN... 15 Minute Chart... #BTC #Bitcoin  https://t.co/5SQZMY8yN1,en,1
2022-11-12 08:46:17 +07,1668217577.0,cryptocharts,Thoughts on $BTC #Bitcoin! See Rocky88888888888's idea on TradingView below.  https://t.co/I5bfa05cs3,en,0
2022-11-12 08:46:12 +07,1668217572.0,shitcoincharts,Thoughts on $BTC #Bitcoin! See wsbhua's idea on TradingView below.  https://t.co/trvgVQnAie,en,0
2022-11-12 08:44:01 +07,1668217441.0,alertingcryptos,"[ $BTC ] Bitcoin, [ $FTT ] FTX Token   NYDIG Co-Founder Says ‘Do Not Invest’ in ‘Non-Bitcoin Crypto’ or ‘Non-Bitcoin DeFi’   https://t.co/sDficFpom4",en,0
2022-11-12 08:42:02 +07,1668217322.0,sato_visn,@JohnnyBTCGood @DoubleAxeApes @coinyeezy @noblecoati,qam,0
2022-11-12 08:40:22 +07,1668217222.0,jumplinealerts,BTCUSDT [5m]: 20/100 EMA Cross Down  $BTC #BTC #Bitcoin  https://t.co/Mj8ebhAZzK,en,0
2022-11-12 08:40:15 +07,1668217215.0,dips4breakfast,$BTC Bitcoin chart update. Wedge continues…  https://t.co/KMUuQiClFi,en,0
2022-11-12 08:39:16 +07,1668217156.0,lehlutz,$BTC (monthly): . let´s assume the low is in it could lead to even higher prices. 148 k at the end of the decade. . #Etherum #Elliottwave #SteamExchange #SteamX #DeFi #BTC #Bitcoin  #BNB #BSC #ETH #NFTs #Crypto #cryptocurrency #P2E #Metaverse #SOL #CRO #ADA #lunacoin #LUNA #UST  https://t.co/qnnYgyWaJe,en,2
2022-11-12 08:37:41 +07,1668217061.0,fgldqkl,不要羡慕那些一个月多少倍，暴富的，你仔细算下就知道了，就算你 1 年只有 10 倍，就这币圈的人还不满足呢，就想着一个月 10 倍。假如一年 10 倍，只需要 3 年，就能把 1 万做到 1000W。实际上你见过几个赚到 1000W 的呢，并没有几个。这种高风险的玩法很容易死， #BTC #Bitcoin,zh,1
2022-11-12 08:35:29 +07,1668216929.0,el_barbasbtc,#BreakingNews: My #blokfi credit card is no longer working 😂😂  #crypto #cryptocrash #btc #Bitcoin #BitcoinCrash #FTX  https://t.co/ga96gxFKQk,en,8
2022-11-12 08:34:43 +07,1668216883.0,rickpalaclosjr,"Take advantage of the fall and make some $$$  “well as a professional I was smart enough to prepare for this bear run, in actuality I didn’t lose a dime on #btc #bitcoin .. want to know how dm me and I’ll tell you for free”.",en,0
2022-11-12 08:34:39 +07,1668216879.0,token_platforms,The current price of Bitcoin is 16864.98 US$.   #btc #bitcoin   Follow us + RT,en,0
2022-11-12 08:34:01 +07,1668216841.0,alertingcryptos,"[ $BTC ] Bitcoin   Bitcoin mining stock report: Friday, November 11   https://t.co/4z6e441DVb",en,0
2022-11-12 08:33:20 +07,1668216800.0,luke_0x21,"This is a BTC chart and contains drawing, the most important phase.  The red line was a major support for a long time. For about 9 years.  Do not break this line if you want the bull market to continue. $BTC #Bitcoin #Crypto  https://t.co/j22W6l4xUw",en,1
2022-11-12 08:32:52 +07,1668216772.0,allinonecrypto,Bitcoin Bull Run Is Not Happening Soon! BTC  https://t.co/YJfAPHhib3 Bitcoin #bitcoin #bitcoinprice #coinpedia #cryptonews #cryptocurrency,en,0
2022-11-12 08:31:42 +07,1668216702.0,ghosttrader9191,Someone check in on El Salvador lately 🇸🇻 🚑🚑🚑🚑🚑🚑🚑🚑🚑 $BTC #Bitcoin  https://t.co/BdOd4NNVHy,en,0
2022-11-12 08:31:34 +07,1668216694.0,wilaga_c,Thanks For the giiving away Best of luck @ashie05gwyneth @Darelab27 @mrsazzad900 #Giveaway $BTC #bitcoin      https://t.co/9Ml9FebLfW,en,1
2022-11-12 08:31:10 +07,1668216670.0,shitcoincharts,Thoughts on $BTC #Bitcoin! See dRends35's idea on TradingView below.  https://t.co/dRmarG3ENv,en,0
2022-11-12 08:30:20 +07,1668216620.0,coinok,1 BTC Price: Bitstamp 16839 USD #BTC #Bitcoin 2022-11-11 20:30  https://t.co/gXDDsrYO0n,en,1
2022-11-12 08:24:54 +07,1668216294.0,sa_crypto1,بعد الي حصل مع FTX لازم تتنبه للمنصة الي تستخدمها وهل عندها نفس المشاكل. مثلا باينانس اعلنت اصولها بعشرات المليارات وعدم وجود التزامات. لكن اعلان Kucoin و okx اصولهم يعتبر ضئيلًا لمنصات كبرى وما وضحوا اذا عليهم التزامات! اسحب عملاتك لمحافظ خارجية لحين تتضح الامور #BTC #Bitcoin,ar,0
2022-11-12 08:23:42 +07,1668216222.0,twentyontwenty_,Top 5 crypto symbols with the highest trending count in the past 24 hours (based on 5 minute intervals):  $BTT 177 $BTC 140 $USDT 98 $ETH 98 $MATH 80  #BTT #BTC #Bitcoin #USDT #ETH #Ethereum #MATH #Crypto #Cryptos #NFT #NFTs #Coins  Find your next 20% play  https://t.co/58ojlR5Cgj  https://t.co/Qh0APsp2FN,en,11
2022-11-12 08:23:07 +07,1668216187.0,maykigti,🔥👂LISTEN TO👂THIS SOUND MY FRIEND😉🔥  👑🎵@icecube🎵👑 🚨HIT !!!🚨  🎶🎹Check Yo Self🎚️(Remix)🎶  https://t.co/dItH1vUZf0  🥳ENJOY MY FRIEND🥳 #MaykiGTI #IceCube #artist #rap #NFT #NFTCommunity #music #Musica #音乐 #音楽 #BTC #Bitcoin #ETH #Ethereum #gamedev #rtArtBoost #Web3  https://t.co/VlRXekUFiW,en,20
2022-11-12 08:22:36 +07,1668216156.0,bhattiilsa,$SHIB is the second biggest holding of @cryptocom after $BTC Bitcoin.💕🥲👈🏼 $Shib❤️,en,3
2022-11-12 08:22:06 +07,1668216126.0,slaam00007,"@FTX_WaIlet ""well as a professional I was smart enough to prepare for this bear run, in actuality I didn't lose a dime on #btc #bitcoin #Ftx #Binance",en,0
2022-11-12 08:20:56 +07,1668216056.0,sakunacrypto,Gelişime açık olun özgür bir gelecek için.  İyi geceler🌙 #BTC #Bitcoin #Binance #BNB  https://t.co/dP4riOuLW8,tr,0
2022-11-12 08:19:36 +07,1668215976.0,token_platforms,The current price of Bitcoin is 16876.66 US$.   #btc #bitcoin   Follow us + RT,en,0
2022-11-12 08:16:54 +07,1668215814.0,michaelscott_tm,Already in action… 💰💰💰 Don’t miss this crash. SHORTS ENJOY #Crypto #BTC #bitcoin #futurestrading,en,0
2022-11-12 08:16:07 +07,1668215767.0,cryptocharts,Thoughts on $BTC #Bitcoin! See biggriz's idea on TradingView below.  https://t.co/XbVCk9KXSf,en,0
2022-11-12 08:15:22 +07,1668215722.0,jumplinealerts,BTCUSDT [5m]: RSI Oversold  $BTC #BTC #Bitcoin  https://t.co/9twPrw3E1r,in,0
