created_at,timestamp,username,tweet,language,likes_count
2022-11-04 17:59:49 +07,1667559589.0,datapoolapp,Eth Unique Tweet Quantity   Last 7 Days #btc #bitcoin #cryptocurrency More Detail 👉 https://t.co/Xk4ZUgg4Uu  https://t.co/NuLpw5Jyat,fr,1
2022-11-04 17:58:33 +07,1667559513.0,naturenft83,$BTC #Bitcoin 1H now pressing MA 20 where it was last rejected,en,0
2022-11-04 17:57:21 +07,1667559441.0,dripoleon_16,"#BTCUSDT  #BTC #Bitcoin 🔰Bitcoin Analysis Update🔆The bitcoin trend in the weekly time frame is still declining and will continue until the price succeeds in breaking the $ 42,500 resistance.",en,0
2022-11-04 17:57:08 +07,1667559428.0,lidyagoeth7,Tip🔥: Could also change your life. I already buy Banxa Holdings CVE: BNXA share. Big wins waits. Thank me later for that tip🔥#btc #bitcoin #defi #nft,en,0
2022-11-04 17:56:01 +07,1667559361.0,kinta911gt3,Market manipulation of pump scammers #BTC #Bitcoin,en,0
2022-11-04 17:55:36 +07,1667559336.0,bochkoss8,Let's fucking go 🚀 #M31 #Orbit #OrbitLegion #Andromeda #Bnb #binance #bsc #bscgem #defi #nft #btc #bitcoin #crypto #cryptocurrency #ethereum #eth #binancesmartchain,en,4
2022-11-04 17:53:32 +07,1667559212.0,jonasnrdstrm,📈 ETHUSD SELL signal now (partial) #eth #crypto #DCA #TradingSignals #BTC #Bitcoin 4/11/2022@10:53:32,en,0
2022-11-04 17:53:04 +07,1667559184.0,killoanswer12,"Saylor is officially a Bitcoin loser.  He has contracted a huge debt, pays very high interest.  Now he is forced to reduce his stake, causing the price to collapse.  We have to be honest: it's over  #Saylor #btc #bitcoin",en,0
2022-11-04 17:51:40 +07,1667559100.0,enesakarsu,#Btcusdt #BTC  #Bitcoin   15dk güzel bir flama yapıyor.  Flama çalışırsa 20.950 hedef seviyesidir.,tr,53
2022-11-04 17:51:12 +07,1667559072.0,choconana412u,"I can't see a big drop, nor a dip, do you? Have checked the market but I can't see any difference one #Bitcoin is still worth one Bitcoin. But is #BTC #Bitcoin",en,0
2022-11-04 17:50:45 +07,1667559045.0,galandar17,Bu veriye göre gecen aya göre İş gucüne katılım %30 azalmasi gerekir. Bu kadar düşüş beklemiyorum ama gelirse harika olur. # btc #bitcoin #binance  https://t.co/zuCD6fmeY7,tr,0
2022-11-04 17:50:44 +07,1667559044.0,cryptocapitalto,#crypto #cryptomemes #btc #bitcoin … …  https://t.co/CYCdXDZo65,und,0
2022-11-04 17:47:11 +07,1667558831.0,cho_aryani3251,May be #btcusdt #BTC  #Bitcoin #bitcoinprice,en,0
2022-11-04 17:47:07 +07,1667558827.0,cryptotiks_,"3.20-3TL arasından paylaştığım #zoren ürününü hatırlayanlar ? %91🚀🚀🚀:) Teknik=Teknik. Piyasa fark etmez,fırsat bitmez.Bizler bu işi kuralına göre oynamaya,oynadıkça da paylaşmaya devam edeceğiz.  #btc #bitcoin #sasa #hektaş #bnb #binance #smrtg #eregl #eth #band #MATIC #lit  https://t.co/gveksonyfM",tr,17
2022-11-04 17:46:57 +07,1667558817.0,anirudh53659598,#ICXUSDT  02  Targets  Instantly Done  ✅23.80%+ Profit    #btc #Bitcoin #eth #ethereum #huobi #Gateio #Kucoin #Binance,en,0
2022-11-04 17:46:07 +07,1667558767.0,cryptocharts,Thoughts on $BTC #Bitcoin! See AtlasTrades's idea on TradingView below.  https://t.co/NKw51OBo9b,en,0
