created_at,timestamp,username,tweet,language,likes_count
2022-11-04 23:59:46 +07,1667581186.0,ghiassi77,Live Stream:#BTC #bitcoin #altcoin,en,0
2022-11-04 23:59:35 +07,1667581175.0,charlie_arn45,El Salvador's fascinating history has prompted many people to invest in #BTC. #Bitcoin will resurface with a vengeance.#CryptoNews #cryptocurrency,en,0
2022-11-04 23:59:22 +07,1667581162.0,devkrz25,"5/6 #Sentiment is relatively positive on the mid term, however it's highly bullish on lower time frames, meaning that we have not yet confirmed a significant mid term #bullish move (...) #CryptoNews #cryptocurrency #Crypto #BTC #Bitcoin",en,0
2022-11-04 23:59:08 +07,1667581148.0,365cryptonews,"🟩 WHALE WATCHER  🚨 🚨 🚨 🚨 🚨 🚨 🚨 🚨  10,000 #BTC (207,828,463 USD) transferred from unknown wallet to unknown wallet Details  $BTC #BTC @bitcoin #bitcoin",en,0
2022-11-04 23:58:46 +07,1667581126.0,crypto94163,$IOTA near the bottom of the Elliott channel again. I'm waiting a big wave 3 in the next months. IOTA/BTC 1d. #IOTA #BTC #Bitcoin,en,1
2022-11-04 23:58:40 +07,1667581120.0,trade_gio,"With our TradeGio indicator, we made a profit of 438.42% with the buy signal $LRC.  Trade with us: https://t.co/kgmoNQXcbi  $btc #bitcoin $eth #ethereum $sol #solana $uni #uniswap $quack #richquack $lunc #terraclassic $doge #dogecoin $shib #shibainu $rbxs #rbxsamurai $ttc  https://t.co/NKRj0W4u41",en,3
2022-11-04 23:56:49 +07,1667581009.0,hhajilee86,On its way down just as I predicted. $btc #bitcoin #btc,en,0
2022-11-04 23:56:08 +07,1667580968.0,cryptoworld0222,Still holding my #MATIC spot profits from yesterday!  12hours and 23% profit on spot!  Only posted in the VIP.  #crypto #matic #cryptotrading #btc #Bitcoin  https://t.co/aCC6ghybyV,en,1
2022-11-04 23:55:23 +07,1667580923.0,b4signals,B4 CoPilot  Semi-Auto Trading Interface for NinjaTrader 8   #CryptoInvestor #btc #bitcoin  #cryptonews #SPY #SPX  $SPY $SPX $ES_F #NinjaTrader #Open #SuperStonk #wallstreetbets  https://t.co/zOU3WGWCui,en,0
2022-11-04 23:55:14 +07,1667580914.0,elsawy_trade,مشاء الله لا قوة الا بالله ❤️ #BTC_Dominance تم تحليله من قبل وذكر أن كسر مستوي 41.28 ممتاز لي  Altcoins. 🟢 مبارك لمن استفاد ودخل السوق  بعد كسر مستوي 41.28 لأسفل  . المستويات المستهدفة بعد الكسر تم تحقيقة  1_41%🟢 2_40.30%🟢 3_40.04%⏳   $BTC #Bitcoin #BTC_Dominance  https://t.co/gajrh5UKBp,ar,1
2022-11-04 23:55:13 +07,1667580913.0,theworldofnora,New NFT Available here 😁  https://t.co/K5hduR6FYr  #NFTCommunity #cryptocommunity #NFTs #luna #BTC #Bitcoin #Cryptos #nftart #NFT #Metaverse #ETH  https://t.co/p6vLXiouAB,en,8
2022-11-04 23:54:16 +07,1667580856.0,365cryptonews,"🟩 NEWS ON THE BLOCK   BREAKING: 🇦🇷 Fintech firm in Argentina, Uala, to launch #Bitcoin trading for its 4.5 million users.  $BTC #BTC @bitcoin #bitcoin",en,0
2022-11-04 23:53:47 +07,1667580827.0,rodmanpun71,LIVE-CANLI YAYIN Bitcoin cryptocurrencies and all markets are here $SHIB #SHIB . $BTC #Bitcoin $ETH $BNB $SOL $ADA $XRP $DOT $DOGE $AVAX $LUNA $MATIC $MANA $AXS $SAND $BLOK $ENJ $ATOM#Metaverse,en,1
2022-11-04 23:53:38 +07,1667580818.0,risenfit,#BTC #Bitcoin #Ethereum #retailTRADING   - move will put Fidelity in direct competition with retail trading app $HOOD  #BINANCE   - More institutions are expected to follow  - some bills 👇  $CORZ $ARBK $IREN $SDIG $HUT $RIOT $MARA $HIVE $BITF $GREE $SOS $DGHI $CLSK $WULF $ANY  https://t.co/wJEnR4zbCJ,en,1
2022-11-04 23:53:26 +07,1667580806.0,nadukanu33,Good projects #BSC #BNB #Binance #BTC #Bitcoin #Avalanche #AVAX #Airdrops,en,0
2022-11-04 23:53:03 +07,1667580783.0,sertong81,#btc #bitcoin Minör düşen trendi kırdı ve devam…  https://t.co/R0PubN6fRj,tr,3
2022-11-04 23:53:01 +07,1667580781.0,alertingcryptos,[ $BTC ] Bitcoin   Is Bitcoin Halal or Haram? Here’s What Islamic Scholars Are Saying   https://t.co/bb9xGLoBMz,en,0
2022-11-04 23:52:00 +07,1667580720.0,cloclotb65,#btc #Bitcoin #cryptocrashMany indicators showing that most of the assets are oversold,en,0
2022-11-04 23:51:36 +07,1667580696.0,baraner_shib60,Is it possible to dream of a #altseason?$BTC.D $BTC #btc #bitcoin #crypto #altcoin #altcoinseason #AltcoinSeason2022,en,1
2022-11-04 23:51:26 +07,1667580686.0,traderolcam48,$ftm almost 15% up since this tweet..that's the effect of Imagine when he actually drops his token...keep ur eyes on $ftm ecosystem next few days...  $boo $spirit $any $scream $lqdr #crypto #altcoins $btc #bitcoin,en,2
2022-11-04 23:51:18 +07,1667580678.0,businessbipns,Check the latest live price of #cryptocurrency. Just click here:  https://t.co/BYe6glFeEG  -------------- #BTC - #Bitcoin - #Ethereum - #BNB - #dogecoin - #Solana  https://t.co/52kWapGShV,en,0
2022-11-04 23:51:16 +07,1667580676.0,dogevice,#Titty #Titter   Best for the monetization of something  It has the potential to Monetize and show your freedom…  @TitterSocial @BillyM2k @DogeVice   #Twitter #ElonMusk #DOGE #Btc #Bitcoin #Ethereum #eth #matic #mask #dogecoin #dogearmy  https://t.co/i1IyEPX365,en,2
2022-11-04 23:50:53 +07,1667580653.0,tomma_11645,Alts coin season is fully back#voxies #BNB #BTC #bitcoin #Eth,en,0
2022-11-04 23:49:20 +07,1667580560.0,niteshs22654230,Living alone becomes a habbit. #Binance #BTC #Bitcoin  https://t.co/xm4vRA1VuI,en,0
2022-11-04 23:49:07 +07,1667580547.0,anthoonyh_11,A quand le long sur bitmex ?$BTC #Bitcoin,en,0
2022-11-04 23:48:37 +07,1667580517.0,koa28534969,#Binance #BNB #BTC #Bitcoin #Crypto #cryptocurrency,qht,0
