created_at,timestamp,username,tweet,language,likes_count
2022-11-12 23:59:53 +07,1668272393.0,amphiture,Check the latest live price of #cryptocurrency. Just click here:  https://t.co/R2P5qNVv4c  --------------  #BTC - #Bitcoin - #Ethereum - #BNB - #dogecoin - #Solana  https://t.co/uaidhVf7wi,en,1
2022-11-12 23:59:28 +07,1668272368.0,cryptotiks_,Tarihe not….    #btc #bitcoin #bnb #binance #ftt #ftx #doge #eth #CryptoCom  https://t.co/5WPwFg1lVO,en,16
2022-11-12 23:57:35 +07,1668272255.0,yakubolamide12, https://t.co/JH3LHfyNfC #Remitano #btc #Bitcoin,qme,0
2022-11-12 23:55:49 +07,1668272149.0,btcnitrobetting,"🏈 #NCAAF Today ⤵️  #Alabama -11 vs #OleMiss Ov/Un 65  Who you got?  Exclusive, original #BTC promotions &amp; contests all year ▶️  https://t.co/GX0FfWB47Q  #CollegeFootball #CFB #BTC #Bitcoin #RollTide #Rebels  https://t.co/U2ro7jyK80",en,0
2022-11-12 23:55:36 +07,1668272136.0,tradenomadic,"Max pain would be a bottom here, but way too soon. Historical support, and the last imbalance from the run up to 60k. 1.13 bearish breakdown rejection   Bulls got rekt, bears want lower. Max pain would be a bear trap.   $BTC #Bitcoin  https://t.co/Z32tSY2a8e",en,3
2022-11-12 23:53:59 +07,1668272039.0,veuepoint,"I have a very small position in $BTC #Bitcoin and $ETH so am following the developments around the #FTX story. Here is my take. My plan: Do nothing at this time, watch for trend line breakdowns  https://t.co/RKo9TfMy0j",en,1
2022-11-12 23:51:11 +07,1668271871.0,dollarcurrency1,"$BTC 👀✍️🫡  We need a major collapse in the market 🤝  This time, the conditions are completely different from the previous ones✍️  Think again if you think this is the beginning of a bull market 👀  Please ❤️ and RT 🔁 if you found this useful. #Crypto #BTC #Bitcoin  https://t.co/ZZeSzsMfxM",en,72
2022-11-12 23:50:56 +07,1668271856.0,agboolaojo, https://t.co/LO8Fffpf6X #Remitano #btc #Bitcoin,qme,0
2022-11-12 23:49:07 +07,1668271747.0,productionie,We missed 2 entry on $BAND. But overall great profit.. we’re still shorting. $BTC $ETH $DYDX $GMX $UNI $SUSHI $XRP $KAVA $UNFI $ETC $agld #BTC #Bitcoin #ETHW #ETH #NFT #NFTs #DeFi #web3 #altcoin #Crypto #Cryptocurency  https://t.co/NAeRLwNvdK  https://t.co/Ed3d1xEFI2,en,1
2022-11-12 23:48:06 +07,1668271686.0,token_platforms,The current price of Bitcoin is 16892.77 US$.   #btc #bitcoin   Follow us + RT,en,1
2022-11-12 23:46:40 +07,1668271600.0,joeinska,Returns in the last day for #BTC #Bitcoin Price now: $16896 1 hour -0.23% 3 hours 0.36% 6 hours 0.17% 12 hours 0.53% 24 hours 0.64%  2022-11-12 18:46,en,0
2022-11-12 23:46:07 +07,1668271567.0,cryptocharts,Thoughts on $BTC #Bitcoin! See MadWhale's idea on TradingView below.  https://t.co/SSDURfEZKZ,en,0
2022-11-12 23:46:07 +07,1668271567.0,shitcoincharts,Thoughts on $BTC #Bitcoin! See American_Crypto's idea on TradingView below.  https://t.co/UFbqrgzyfd,en,0
2022-11-12 23:45:31 +07,1668271531.0,joeinska,Crypto prices 2022-11-12 18:45: #BTC #Bitcoin $16919 $ETH $1274 $SOL $15,en,0
2022-11-12 23:45:14 +07,1668271514.0,gandalfotc,Here’s the case to go long on crypto guys. And my what a strong case it is. $btc #Bitcoin,en,0
2022-11-12 23:44:37 +07,1668271477.0,sato_visn,@CasperCSPR_com @Kevin_Cage_ @Bitboy_Crypto @Dr_CSWright  How does Casper compare to Bitcoin?  https://t.co/Vtx4mREc9e,en,1
2022-11-12 23:43:02 +07,1668271382.0,pythagoras8888,• Tuesday April 26 #Luna  • Saturday November 5 #FTX   #SamBankmanFried   It was all in the bands in advance…  Would have saved many…  #WakeUp   #loss #bankruptcy   #advanced #BTC            #Bitcoin           #best #trading #accuracy #trade #Ethereum #ETH #crypto #profits  https://t.co/p4Ce8xnp3f,en,2
2022-11-12 23:41:00 +07,1668271260.0,tcamright,Looks $BTC #Bitcoin gonna have to pull a rabbit out of it's ass to not finish November (18 more days) below like 20.8k or 21k. Prospects not looking great right now 😬  https://t.co/6dcDcV8pmw,en,2
2022-11-12 23:40:35 +07,1668271235.0,abbottcraigie4,1 BTC Price: Bitstamp 16831 USD #BTC #Bitcoin 2022-11-12 09:30  https://t.co/4xQXgMXpnM,en,1
2022-11-12 23:38:57 +07,1668271137.0,pascalabams,just like the peak of the bull market was in early 2021. real capitulation happened back in june – not this week.  #btc #bitcoin  https://t.co/f24OEBijab,en,9
2022-11-12 23:38:12 +07,1668271092.0,cryptonoob_1,"#BTC #Bitcoin  Have we bottomed? 👀  In terms of maximum pain, the market has not felt the same pain as prior bottoms because the market cap has not yet touched the delta cap, as it did in previous cycles.   Will $13,144 be the bottom?  https://t.co/9zxFknm2N6",en,417
2022-11-12 23:38:07 +07,1668271087.0,catchingknivess,$BTC  Bitcoin's price structure + volume profile looks similar to the 2020 low rn  Still think we see $14.1k first unless it catches a bid over the weekend  https://t.co/30rqmfK223,en,0
2022-11-12 23:38:01 +07,1668271081.0,crypthonchannel,"Follow for more Crypto News!  https://t.co/2cbVGb5rmG Reveals $2,800,000,000 in Bitcoin and Altcoin Reserves in Bid for Transparency #btc #bitcoin #eth #ethereum #usdt #tether #shib #shiba inu  https://t.co/kFYaEvyvQS",en,0
2022-11-12 23:37:13 +07,1668271033.0,pascalabams,hash price breaks to a new all-time-low of $0.058.  #btc #bitcoin  https://t.co/Otrlw7uDQK,en,1
2022-11-12 23:36:41 +07,1668271001.0,marsardav,Day 6 #bitcastle. Please help meeeee!  #bitcastle　 #crypto　 #Airdrop 　 #AirdropCrypto  #BTC  #Bitcoin  #Giveaway,en,0
2022-11-12 23:35:12 +07,1668270912.0,mnkj0021,#BTC #Bitcoin #FTX #FTXbankruptcy #Cryptocurency #eth #BNB #binance  @binance @FTX_Official  https://t.co/epbBO7tt8Z,qme,1
2022-11-12 23:35:00 +07,1668270900.0,bthustlers,News: Rumors continue to fly surrounding Sam Bankman-Fried and the fall of FTX #FTX #FTXCRASH #BTC #Bitcoin #BtHustlers  https://t.co/jOPq8PyWrs,en,0
2022-11-12 23:34:56 +07,1668270896.0,pascalabams,a clean underside retest of the STH realized price.  #btc #bitcoin  https://t.co/lFr58jDHkd,en,1
2022-11-12 23:34:51 +07,1668270891.0,hedoive,#BTC #Bitcoin #Crypto  https://t.co/Q8BSmL0qIi,qme,0
2022-11-12 23:33:54 +07,1668270834.0,cryptowise_fin,🎯🎯 Cryptowise $RUNE Update 🎯🎯  #RUNE Resistance/Support Update! 📈      Next support: 1.12 Resistance: 1.21 Price: 1.121  Discover more 👇  https://t.co/ZHho6FNk5W      #charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain  https://t.co/9aOtk9lU8q,en,0
2022-11-12 23:33:14 +07,1668270794.0,cryptowise_fin,🎯🎯 Cryptowise $AVAX Update 🎯🎯  #AVAX Resistance/Support Update! 📈      Next support: 13.3 Resistance: 15.3 Price: 13.33  Discover more 👇  https://t.co/ZHho6FNk5W      #charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain  https://t.co/yv1Uirn8Cv,en,0
2022-11-12 23:33:02 +07,1668270782.0,token_platforms,The current price of Bitcoin is 16921.38 US$.   #btc #bitcoin   Follow us + RT,en,1
2022-11-12 23:32:35 +07,1668270755.0,cryptowise_fin,🎯🎯 Cryptowise $SOL Update 🎯🎯  #SOL Resistance/Support Update! 📈      Next support: 15.1 Resistance: 17.5 Price: 14.84  Discover more 👇  https://t.co/ZHho6FNRVu      #charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain  https://t.co/0gwn1g86ic,en,0
2022-11-12 23:32:16 +07,1668270736.0,ofelipeporto," https://t.co/vQF6o0jcP9 pra mim é a próxima que vai falir, onde ja se viu ter tanto do capital em shitcoin. Eu não tenho dinheiro lá mas recomendo quem tem... retirar. $btc #bitcoin",pt,0
2022-11-12 23:31:55 +07,1668270715.0,cryptowise_fin,🎯🎯 Cryptowise $XRP Update 🎯🎯  #XRP Resistance/Support Update! 📈      Next support: 0.37 Resistance: 0.39 Price: 0.3665  Discover more 👇  https://t.co/ZHho6FNk5W      #charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain  https://t.co/6nzm57a9mB,en,0
2022-11-12 23:31:14 +07,1668270674.0,cryptowise_fin,🎯🎯 Cryptowise $ETH Update 🎯🎯  #ETH Resistance/Support Update! 📈      Next support: 1240 Resistance: 1290 Price: 1269.41  Discover more 👇  https://t.co/ZHho6FNk5W      #charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain  https://t.co/QtvSrF3Oy2,en,0
2022-11-12 23:31:08 +07,1668270668.0,cryptocharts,Thoughts on $BTC #Bitcoin! See BasharatAliMaher's idea on TradingView below.  https://t.co/fQX9JLbvaG,en,0
